name,title,book(s),house,dateOfBirth,dateOfDeath,,culture,alias,reign,full name,other titles,born in,died in,royal house,predecessor,heir,successor,queen,issue,books,father,mother,coronation,spouse,personal arms,race,wife,actor,tv series,buried in,location,government,founded,religion,notable places,organizations,named for,current commander,size,banner,motto/war cry,founder,coat of arms,seat,current lord,region,overlord,words,cadet branch,ancestral weapon,population,conflict,date,place,result,author,country,language,series,genre(s),publisher,released,media type,pages,followed&#160;by,cover artist,isbn,purchase,disbanded
Addam,Ser,The Mystery Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abelar Hightower,Ser,The Hedge Knight,House Hightower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addam Osgrey,,The Sworn Sword,House Osgrey,183 AC,196 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addam Marbrand,Ser,A Game of Thrones,House Marbrand,,,Season 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addam Frey,Ser,The Mystery Knight,House Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegon Blackfyre,,The Sworn Sword,House Blackfyre,184 AC,196 AC,,Valyrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addam Velaryon,Ser,The World of Ice and Fire,House Velaryon,114 AC,130 AC,,Valyrian, Addam of Hull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addison Hill,Ser,The World of Ice and Fire,House Swyft,Cornfield,,,, The Bastard of Cornfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegon Frey (son of Aenys),,A Clash of Kings,House Frey,253 AC,,,,"<a href=""#cite_note-Racokappendix.7B.7B.7B3.7D.7D.7D-0"">[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegon Frey (son of Stevron),,A Clash of Kings,House Frey,249 AC,299 AC,,,"<a href=""#cite_note-Racokappendix.7B.7B.7B3.7D.7D.7D-0"">[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegon IV Targaryen,,,,,,,, Aegon the Unworthy,172 AC, Aegon Targaryen the Fourth of His Name,Andals,135 AC,184 AC,House Targaryen,Viserys II Targaryen,Daeron II Targaryen,Daeron II Targaryen,Naerys Targaryen,Daeron II Targaryen,The World of Ice and Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
